EpisodeIndex,DQNEpisodeReward,DQNAverageReward,DQNEpisodeQ0,DDQNEpisodeReward,DDQNAverageReward,DDQNEpisodeQ0
1,-16.9836734693878,-16.9836730957031,0.204490289092064,-20.6138775510204,-20.6138782501221,0.204490289092064
2,-15.9222222222222,-16.4529476165771,0.492852360010147,-21.082962962963,-20.8484191894531,-0.68141382932663
3,-17.6950724637681,-16.8669891357422,0.163459986448288,-17.9089855072464,-19.8686084747314,0.93209034204483
4,-16.7807692307692,-16.8454341888428,0.465114086866379,-9.32115384615384,-17.2317447662354,1.24618792533875
5,-17.88,-17.0523471832275,0.832710325717926,-21.96,-18.1773948669434,1.16730070114136
6,-14.1682840236686,-16.5716686248779,1.51993429660797,-18.5884023668639,-18.2458953857422,1.12860083580017
7,-14.1237410071942,-16.2219657897949,5.44856691360474,-18.4915107913669,-18.28098487854,1.22031009197235
8,-13.51,-15.8829708099365,0.814944088459015,-22,-18.7458610534668,0.0403814166784286
9,-9.048,-15.1235303878784,0.96650767326355,-22.568,-19.1705436706543,-0.287125289440155
10,-12.1682840236686,-14.8280048370361,1.07140028476715,-11.76,-18.4294891357422,0.798228740692139
11,-18.5713580246914,-15.1683101654053,0.817939519882202,-17.7711934156379,-18.3696441650391,1.06190013885498
12,-15.8,-15.2209510803223,0.573746919631958,-13.76,-17.9855060577393,1.09072017669678
13,-21.96,-15.7393388748169,0.847267806529999,-20.7852482269504,-18.200870513916,1.00683116912842
14,-13.1891891891892,-15.5571851730347,5.74646091461182,-19.0421621621622,-18.26096534729,2.48615336418152
15,-13.4991304347826,-15.4199819564819,1.22511076927185,-16.814347826087,-18.1645221710205,0.0751123279333115
16,-13.76,-15.3162326812744,1.15029287338257,-19.92,-18.2742404937744,0.189937770366669
17,-19.92,-15.587043762207,11.3751258850098,-10.5763730569948,-17.8214244842529,1.14438688755035
18,-14.3314285714286,-15.5172863006592,1.17863714694977,-18.9665800865801,-17.8850440979004,0.758915543556213
19,-19.92,-15.7490072250366,1.05900549888611,-19.92,-17.9921474456787,0.684599578380585
20,-19.96,-15.9595565795898,0.871478796005249,-16.0018497109827,-17.8926334381104,-0.0716088712215424
21,-19.92,-16.1481494903564,0.792010366916656,-17.4812556053812,-17.8730430603027,-0.0809566974639893
22,-21.5683790523691,-16.3945236206055,0.341723054647446,-16.3360598503741,-17.8031806945801,0.193751305341721
23,-14.1265158371041,-16.2959156036377,1.19765388965607,-21.96,-17.9839115142822,0.651719510555267
24,-16.4484337349398,-16.3022708892822,0.728831052780151,-10.5024096385542,-17.6721820831299,0.139444679021835
25,-21.0125925925926,-16.4906845092773,0.66631680727005,-18.8214814814815,-17.7181549072266,0.667619466781616
26,-20.535,-16.6462326049805,-0.023922972381115,-18.175,-17.735725402832,-0.0393097437918186
27,-22.1994957983193,-16.8519115447998,-0.0312917083501816,-20.2603361344538,-17.8292274475098,0.426425755023956
28,-15.72,-16.8114833831787,1.09948813915253,-19.92,-17.9038982391357,0.32411116361618
29,-16.4111111111111,-16.797679901123,1.17361378669739,-18.5719191919192,-17.9269351959229,0.472834348678589
30,-16.6558904109589,-16.7929515838623,0.572226762771606,-18.5117808219178,-17.9464302062988,0.136098027229309
31,-16.5643708609272,-16.7855796813965,0.600542724132538,-18.0154966887417,-17.948657989502,0.515013098716736
32,-16.6739222614841,-16.7820911407471,1.14606833457947,-22.543038869258,-18.0922317504883,0.506383299827576
33,-16.5050246305419,-16.7736949920654,6.45550012588501,-16.5450246305419,-18.0453472137451,0.302870690822601
34,-15.84,-16.7462310791016,1.10450482368469,-19.92,-18.1004829406738,1.01755666732788
35,-15.9357142857143,-16.7230739593506,1.03348445892334,-16.7114285714286,-18.0607967376709,1.02920210361481
36,-11.64,-16.5818786621094,1.24086093902588,-15.84,-17.9991073608398,0.967989206314087
37,-11.4390361445783,-16.4428825378418,1.085688829422,-2.99807228915663,-17.5936737060547,0.863104164600372
38,-20.4109747292419,-16.547306060791,0.64976167678833,-16.7241877256318,-17.5707950592041,0.797877311706543
39,-20.1798870056497,-16.6404495239258,4.38668441772461,-10.3670056497175,-17.386079788208,1.31117117404938
40,-9.10389380530973,-16.4520359039307,2.86950039863586,-20.278407079646,-17.4583873748779,0.688205122947693
41,-15.84,-16.4371089935303,1.07564532756805,-19.92,-17.5184288024902,1.10762500762939
42,-9.32834645669291,-16.2678508758545,0.997250616550446,-11.3683464566929,-17.3719959259033,0.79153847694397
43,-18.1767346938775,-16.3122444152832,1.05140542984009,-21.96,-17.4786949157715,0.638337016105652
44,-16.34,-16.312873840332,1.24638247489929,-14.43,-17.4094066619873,0.600972473621368
45,-9.64,-16.164587020874,1.35292172431946,-15.84,-17.3745307922363,1.12672173976898
46,-20.4446913580247,-16.2576332092285,4.22138977050781,-19.0651851851852,-17.411283493042,0.979428052902222
47,-15.6,-16.2436428070068,1.71929681301117,-17.0021621621622,-17.4025802612305,0.609619438648224
48,-15.6161194029851,-16.2305698394775,1.58179819583893,-13.1375124378109,-17.3137264251709,0.303553521633148
49,-17.76,-16.2617816925049,1.24533414840698,-16.3873891625616,-17.2948188781738,0.400623023509979
50,-10.1825,-16.1401958465576,1.18896687030792,-13.51375,-17.2192001342773,0.248135417699814
51,-17.0622222222222,-16.158275604248,3.67747449874878,-11.7766183574879,-17.1124820709229,0.186234265565872
52,-20.8613793103448,-16.2487182617188,0.955726444721222,-15.8841379310345,-17.0888595581055,-0.00516887009143829
53,-19.88,-16.3172340393066,0.706154406070709,-12.6438554216867,-17.0049896240234,0.384012162685394
54,-14.4363636363636,-16.2824020385742,1.07361149787903,-24,-17.1345272064209,0.479396730661392
55,-15.7273607748184,-16.272310256958,3.84662985801697,-14.8084261501211,-17.0922355651855,-0.000722795724868774
56,-18.9873985680191,-16.3207950592041,1.26738941669464,-24,-17.2155876159668,-0.293698042631149
57,-18.6076422764228,-16.3609142303467,0.952491700649261,-18.7214634146341,-17.2420063018799,-0.511121451854706
58,-16.3751724137931,-16.3611602783203,0.957593381404877,-15.8,-17.2171440124512,0.379171967506409
59,-15.2806201550388,-16.342845916748,1.00066256523132,-21.3696124031008,-17.2875232696533,-0.401983618736267
60,-15.4392452830189,-16.3277854919434,6.78608369827271,-19.92,-17.3313980102539,-0.410337686538696
61,-13.8,-16.2863464355469,1.03972470760345,-13.76,-17.2728519439697,0.106632649898529
62,-11.3118146718147,-16.206111907959,0.741419792175293,-19.4180694980695,-17.3074512481689,0.319691479206085
63,-7.64,-16.0701427459717,1.08176910877228,-9.48,-17.1832084655762,0.51335334777832
64,-15.84,-16.0665473937988,0.837821960449219,-19.92,-17.2259712219238,1.18610990047455
65,-18.1682051282051,-16.0988807678223,1.3145809173584,-18.3671794871795,-17.2435283660889,0.61176598072052
66,-13.4170954356846,-16.0582466125488,1.2610799074173,-21.96,-17.3149890899658,0.162845835089684
67,-11.68,-15.9928998947144,0.852916657924652,-15.84,-17.2929744720459,0.659029304981232
68,-18.2389743589744,-16.0259304046631,0.872879922389984,-9.68,-17.1810188293457,0.988542437553406
69,-22.9364705882353,-16.1260833740234,0.928458034992218,-17.9082352941176,-17.1915588378906,0.533043265342712
70,-16.4752941176471,-16.1310729980469,7.86249256134033,-18.5270588235294,-17.2106380462646,1.58713757991791
71,-15.7372727272727,-16.125524520874,0.880749940872192,-17.3002272727273,-17.2118968963623,0.53302937746048
72,-21.96,-16.2065601348877,0.384636998176575,-19.92,-17.2495098114014,-0.226651042699814
73,-14.3984039900249,-16.181791305542,0.712220728397369,-17.1018453865337,-17.2474880218506,-0.189514771103859
74,-18.8158974358974,-16.2173843383789,0.536139249801636,-20.8094871794872,-17.2956237792969,-0.189329564571381
75,-5.4,-16.0731544494629,0.960430860519409,-7.44,-17.1642150878906,0.88815838098526
76,-18.6035023041475,-16.1064491271973,2.15875673294067,-14.6632258064516,-17.1313095092773,0.406408607959747
77,-11.64,-16.0484409332275,1.01357460021973,-11.6,-17.0594711303711,0.711022973060608
78,-22.0856281407035,-16.1258411407471,0.829200029373169,-18.8148743718593,-17.0819778442383,0.272789657115936
79,-13.8,-16.0964012145996,0.563475966453552,-7.32,-16.9584102630615,0.543348431587219
80,-12.5917948717949,-16.0525932312012,1.25407600402832,-10.5902564102564,-16.8788070678711,1.05091750621796
81,-17.84,-16.0746612548828,0.796164572238922,-20.1641860465116,-16.9193668365479,0.241378337144852
82,-13.3834413965087,-16.0418395996094,1.60459995269775,-19.8300249376559,-16.9548625946045,-0.586780428886414
83,-14.5727272727273,-16.0241413116455,6.15656661987305,-13.4451515151515,-16.912576675415,0.0963640213012695
84,-16.2257943925234,-16.0265407562256,0.404317796230316,-15.88,-16.9002838134766,0.463899493217468
85,-10.9050292397661,-15.9662866592407,1.77510499954224,-14.9228070175439,-16.8770198822021,0.871258318424225
86,-16.7814814814815,-15.9757661819458,1.09200513362885,-16.5159259259259,-16.8728218078613,0.510208904743195
87,-19.92,-16.0211029052734,1.17564249038696,-21.96,-16.9312934875488,0.499069780111313
88,-17.1424657534247,-16.0338459014893,-0.169499218463898,-17.1619178082192,-16.9339160919189,0.0345789045095444
89,-20.8124731182796,-16.0875377655029,0.41240456700325,-22.4223655913978,-16.9955825805664,-0.407890558242798
90,-21.96,-16.1527881622314,-0.260925769805908,-11.64,-16.9360752105713,1.15183866024017
91,-20.4876392572944,-16.2004241943359,-0.285097599029541,-16.999151193634,-16.9367694854736,0.590538501739502
92,-11.72,-16.1517219543457,1.27400636672974,-15.84,-16.9248485565186,0.507739245891571
93,-15.84,-16.1483726501465,1.04297816753387,-17.88,-16.9351196289062,1.00086045265198
94,-16.7638554216867,-16.1549205780029,0.308421432971954,-20.4019277108434,-16.9720001220703,0.644344925880432
95,-24,-16.2374992370605,1.28513932228088,-18.0731838565022,-16.9835929870605,0.672353267669678
96,-10.0184615384615,-16.1727180480957,0.424371153116226,-16.8338461538462,-16.9820327758789,-0.114089943468571
97,-20.3438683127572,-16.2157192230225,0.627185583114624,-19.2368724279835,-17.005277633667,0.0119840772822499
98,-21.2466832917706,-16.2670555114746,0.594095885753632,-17.2291271820449,-17.0075607299805,0.0654592961072922
99,-15.8135714285714,-16.2624759674072,-0.0734734833240509,-14.6971428571429,-16.984224319458,0.133422583341599
100,-16.7775,-16.2676258087158,-0.0702128410339355,-14.721875,-16.9616012573242,0.176677763462067
101,-14.7831884057971,-16.2529277801514,0.496259212493896,-13.76,-16.9299011230469,0.18191522359848
102,-16.7339393939394,-16.2576446533203,1.1948961019516,-15.9784848484849,-16.9205741882324,0.164105013012886
103,-11.8263414634146,-16.21462059021,0.885109961032867,-16.1719512195122,-16.9133071899414,0.286365807056427
104,-17.88,-16.2306346893311,0.960728406906128,-13.8,-16.8833713531494,0.284235775470734
105,-19.2576223776224,-16.259464263916,1.05612540245056,-18.9779020979021,-16.9033184051514,0.341206103563309
106,-17.88,-16.274751663208,0.826576948165894,-18.8137991266376,-16.9213428497314,0.525125741958618
107,-21.96,-16.3278846740723,0.588661849498749,-17.92,-16.9306755065918,0.566432237625122
108,-10.2682352941176,-16.2717761993408,0.688058435916901,-11.9945098039216,-16.8849697113037,0.569671034812927
109,-16.5773851590106,-16.2745800018311,0.555705010890961,-16.7293286219081,-16.8835430145264,0.560552537441254
110,-15.88,-16.2709941864014,0.672754287719727,-17.88,-16.8926010131836,0.528646349906921
111,-15.6699763593381,-16.2655792236328,1.11294221878052,-19.1564066193853,-16.9129962921143,0.573849737644196
112,-11.5001709401709,-16.2230319976807,0.740170121192932,-19.3073504273504,-16.9343738555908,-0.439907670021057
113,-18.2457957244656,-16.240930557251,0.655484676361084,-18.7608551068884,-16.9505367279053,0.287181943655014
114,-18.3244444444444,-16.2592086791992,0.72261381149292,-16.1730158730159,-16.943717956543,0.305425703525543
115,-19.528679245283,-16.2876377105713,0.824295520782471,-13.0030188679245,-16.9094486236572,0.54316246509552
116,-16.6109417040359,-16.2904243469238,0.675161123275757,-19.0417937219731,-16.9278316497803,0.62924337387085
117,-21.96,-16.3388824462891,0.321398854255676,-17.88,-16.9359683990479,0.524527013301849
118,-14.8245161290323,-16.3260498046875,0.605225920677185,-13.1316129032258,-16.9037284851074,0.461761742830276
119,-16.9785221674877,-16.3315334320068,0.195103347301483,-16.4108374384236,-16.899585723877,0.67483788728714
120,-19.92,-16.3614368438721,0.412709653377533,-10.2889768976898,-16.8444995880127,1.61207985877991
121,-14.6445945945946,-16.3472461700439,1.11889910697937,-17.84,-16.852725982666,0.952797174453735
122,-14.194495412844,-16.3296012878418,1.05105471611023,-14.8222018348624,-16.8360843658447,0.91636860370636
123,-16.9144680851064,-16.334358215332,0.874135673046112,-9.57638297872341,-16.7770614624023,0.645124018192291
124,-17.6821052631579,-16.3452262878418,0.761095106601715,-15.1759398496241,-16.7641487121582,0.619747757911682
125,-7.64,-16.2755832672119,0.513309121131897,-18.2569841269841,-16.7760906219482,0.63082891702652
126,-16.4606451612903,-16.2770538330078,0.927320957183838,-16.4082949308756,-16.7731704711914,0.470759928226471
