user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
1,117,waveIn,1.1899716,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,1,1,1,0.484848484848485,0.484848484848485,0.484848484848485,0.484848484848485
1,8,noGesture,0.833417,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,60,open,0.8009539,open,open,open,open,1,1,1,1,1,1,1,1,0.397031539888683,0.397031539888683,0.397031539888683,0.397031539888683
1,123,waveIn,0.7232397,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,1,1,1,0.494584837545126,0.494584837545126,0.494584837545126,0.494584837545126
1,57,open,0.8755748,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.326446280991736,0.326446280991736
1,21,noGesture,0.8036057,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,85,pinch,0.7870926,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.495384615384615,0.495384615384615
1,12,noGesture,0.8142237,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,50,fist,0.8161983,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.293577981651376,0.293577981651376,0.293577981651376,0.293577981651376
1,35,fist,0.7736198,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.451282051282051,0.451282051282051,0.451282051282051,0.451282051282051
1,19,noGesture,0.6922842,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,145,waveOut,0.6877245,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.67948717948718,0.67948717948718
1,70,open,0.7664647,open,open,open,open,1,1,1,1,1,1,1,1,0.373795761078998,0.373795761078998,0.373795761078998,0.373795761078998
1,56,open,0.8123013,open,open,open,open,1,1,1,1,1,1,1,1,0.389655172413793,0.389655172413793,0.389655172413793,0.389655172413793
1,4,noGesture,0.7743791,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,132,waveOut,0.7896602,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.661064425770308,0.661064425770308
1,29,fist,0.772027,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.423931623931624,0.423931623931624
1,30,fist,0.7815815,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.340740740740741,0.340740740740741,0.340740740740741,0.340740740740741
1,14,noGesture,0.8044495,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,136,waveOut,0.7814239,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.471403812824957,0.471403812824957
1,138,waveOut,0.771088,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.475551294343241,0.475551294343241
1,67,open,0.7260409,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.356877323420074,0.356877323420074
1,40,fist,0.6726458,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.293103448275862,0.293103448275862,0.293103448275862,0.293103448275862
1,103,waveIn,0.6473671,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.411111111111111,0.411111111111111
1,9,noGesture,0.7265343,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,141,waveOut,0.7492993,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN
1,101,waveIn,0.7436906,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN
1,99,pinch,0.7499673,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.552995391705069,0.552995391705069
