user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
19,92,pinch,1.4823484,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.501355013550135,0.501355013550135
42,129,waveIn,0.9928344,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.425249169435216,0.425249169435216
69,16,noGesture,0.896456,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
37,103,waveOut,0.9298311,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.4064,0.4064
10,35,waveOut,0.9472758,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.636363636363636,0.636363636363636
60,29,pinch,1.0844007,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.499286733238231,0.408472012102874
6,123,waveIn,1.0620135,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.482446206115515,0.482446206115515
37,83,pinch,0.9808679,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.525399129172714,0.525399129172714,0.525399129172714
65,8,noGesture,0.8950673,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
20,47,waveOut,0.8610401,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.374172185430464,NaN
40,104,waveOut,0.9388025,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,1,1,NaN,0.478011472275335,0.478011472275335,0.478011472275335
5,129,open,0.9147887,open,open,open,open,1,1,1,1,1,1,1,1,0.685380116959064,0.620858895705521,0.685380116959064,0.620858895705521
29,143,fist,0.8679031,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.532763532763533,0.532763532763533
72,76,fist,1.0004501,fist,fist,fist,fist,1,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN
3,105,waveIn,0.9562605,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.594104308390023,0.594104308390023
53,147,open,0.8529737,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.52361673414305,0.52361673414305
41,23,noGesture,0.8239576,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
36,95,open,0.8789195,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.513176144244105,0.513176144244105
44,45,pinch,0.8953686,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.713798977853492,0.713798977853492,0.713798977853492
3,129,open,0.9523731,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.507757404795487,0.507757404795487
74,36,waveIn,0.9699183,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.668534080298786,0.668534080298786
34,49,waveOut,1.0467019,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.45136186770428,0.45136186770428
54,16,noGesture,0.951012,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
11,45,fist,0.8802848,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.523936170212766,0.523936170212766
64,117,waveIn,0.8689479,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.462121212121212,0.462121212121212
24,93,fist,0.8747263,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.549603174603175,0.549603174603175
47,33,waveOut,0.8662352,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.50560398505604,0.50560398505604
53,3,noGesture,0.8950722,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
59,69,pinch,0.8360157,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.480463096960926,0.480463096960926
12,2,noGesture,0.8821281,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
6,27,waveOut,0.8999449,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.724179829890644,0.724179829890644
51,7,noGesture,0.9332059,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
27,27,waveOut,0.873469,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.760262725779967,0.760262725779967
