EpisodeIndex,DQNEpisodeReward,DQNAverageReward,DQNEpisodeQ0,DDQNEpisodeReward,DDQNAverageReward,DDQNEpisodeQ0
1,-11.7835051546392,-11.7835054397583,0.471048891544342,-20.2448453608247,-20.2448444366455,0.471048891544342
2,-18.2903225806452,-15.0369148254395,0.208977416157722,-19.7903225806452,-20.0175838470459,0.0321962796151638
3,-18,-16.0246105194092,1.05710923671722,-18,-19.3450565338135,0.62317955493927
4,-8.46129032258064,-14.1337795257568,0.818479657173157,-16.7677419354839,-18.7007274627686,0.673646986484528
5,-12,-13.7070236206055,1.01941323280334,-8,-16.5605812072754,0.652337193489075
6,-19.4627249357326,-15.2428684234619,1.04020047187805,-22.5398457583548,-17.0195827484131,0.887580752372742
7,-20.6057347670251,-15.7059497833252,1.10783135890961,-20.0322580645161,-17.0679683685303,0.727665543556213
8,-17.2384615384615,-15.5536422729492,0.710668623447418,-18.7692307692308,-17.2218151092529,0.419229090213776
9,-22,-18.2613849639893,0.915677309036255,-16.4804270462633,-17.1643524169922,0.857554495334625
10,-18,-19.4613838195801,0.871410429477692,-20,-19.5643520355225,0.766560196876526
11,-14.7424242424242,-18.5173244476318,0.986486315727234,-17.4318181818182,-18.54274559021,1.04429352283478
12,-12,-16.7961769104004,0.983312010765076,-16,-17.7362937927246,0.718501329421997
13,-20.8282208588957,-17.5141296386719,0.967505991458893,-14.9386503067485,-16.970178604126,0.891472160816193
14,-19.6,-17.0341300964355,0.934521615505219,-14.4266666666667,-16.5594272613525,0.977320313453674
15,-16.2941176470588,-16.6929531097412,1.02930855751038,-20.6078431372549,-16.6809959411621,0.819137275218964
16,-18,-17.3444671630859,1.06196522712708,-20,-17.1946315765381,0.808411240577698
17,-18.9352517985612,-18.731517791748,1.01355171203613,-22,-18.3946323394775,1.10888969898224
18,-13.2706766917293,-17.220006942749,0.960375130176544,-17.0751879699248,-18.8219394683838,1.07730197906494
19,-18.6266094420601,-17.0253295898438,0.687389314174652,-14.5665236051502,-18.849910736084,0.787510514259338
20,-22.7850746268657,-18.3235206604004,0.565527558326721,-21.265671641791,-18.9814758300781,0.888699769973755
21,-18.0484429065744,-18.3332099914551,0.959824442863464,-17.0692041522491,-18.3953170776367,0.828325808048248
22,-14.1046511627907,-17.3670921325684,0.7935791015625,-19.5232558139535,-17.8999671936035,1.07503855228424
23,-13.7846153846154,-17.469877243042,0.535278856754303,-18.3,-18.1449317932129,0.660594522953033
24,-18.7853773584906,-17.5016307830811,0.937897205352783,-15.6014150943396,-18.3519096374512,0.604735434055328
25,-17.453488372093,-16.4353141784668,0.609811842441559,-18.2674418604651,-17.7522621154785,0.382727026939392
26,-18.1733746130031,-16.4603023529053,0.901571452617645,-16.2476780185759,-17.5879573822021,-0.149867281317711
27,-12.8670212765957,-16.212776184082,0.848887085914612,-13.7287234042553,-16.4290504455566,0.199859827756882
28,-16.5570175438597,-16.7672557830811,0.986350238323212,-17.6447368421053,-16.2980003356934,0.444828033447266
29,-11.410480349345,-15.2922763824463,0.867197513580322,-14.5327510917031,-16.0842666625977,0.725400269031525
30,-19.2916666666667,-15.659912109375,1.02180290222168,-19.7462121212121,-16.3800201416016,0.488152682781219
31,-19.1818181818182,-15.8616008758545,0.867940247058868,-15.2727272727273,-16.1850318908691,0.450264155864716
32,-19.4789915966387,-17.1839942932129,1.1075222492218,-21,-17.6392860412598,0.38204038143158
33,-18.8642533936652,-17.6454429626465,1.06291222572327,-14.9954751131222,-17.109432220459,0.0566461458802223
34,-17.0653594771242,-18.7764167785645,1.10548889636993,-17.4575163398693,-17.6943874359131,0.532524704933167
35,-17.0677966101695,-18.3316440582275,1.12339961528778,-22.6237288135593,-18.2698917388916,0.684476673603058
36,-16.4620253164557,-17.7876853942871,1.23609471321106,-15.5253164556962,-18.3204078674316,0.481242477893829
37,-14.093023255814,-16.7104911804199,0.771135926246643,-18.2558139534884,-17.7715702056885,0.747313618659973
38,-16.7490774907749,-16.2874565124512,4.18058204650879,-14.1660516605166,-17.6056861877441,-0.440108835697174
39,-13.6620689655172,-15.6067981719971,1.155597448349,-12.0206896551724,-16.5183200836182,0.86996728181839
40,-13.2551724137931,-14.8442735671997,0.98425418138504,-24,-16.7935752868652,0.450633525848389
41,-16.125786163522,-14.7770261764526,1.20732808113098,-15.5094339622642,-16.790397644043,0.400553911924362
