user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
53,70,pinch,1.7105405,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
64,131,open,1.1318783,waveOut,open,waveOut,open,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.571098265895954
44,63,waveOut,1.0958088,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.376436781609195,0.277439024390244
73,100,open,1.069393,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.3616,0.3616
4,99,fist,1.0970176,fist,fist,fist,fist,1,1,1,1,0,0,1,0,NaN,NaN,0.632887189292543,NaN
71,81,pinch,1.3613931,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.369063772048847,0.375266524520256
44,33,pinch,1.2470902,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.471204188481675,0.387434554973822
50,107,waveIn,1.0568551,waveOut,waveIn,waveOut,waveIn,0,1,0,1,0,0,0,0,NaN,NaN,NaN,0.234375
11,71,open,1.03823,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.559398496240601,0.558730158730159
51,28,waveOut,1.0599947,waveOut,open,waveOut,waveOut,1,0,1,1,1,0,1,1,0.602436323366556,NaN,0.602436323366556,0.258928571428571
51,122,waveIn,1.0893066,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,NaN,0.380255941499086,0.102783725910064
12,119,waveIn,1.0715295,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.275,0.376470588235294
60,80,open,1.0672567,open,open,open,open,1,1,1,1,0,0,1,0,NaN,NaN,0.37347294938918,NaN
73,70,waveOut,1.1086777,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,0,0.175213675213675,NaN,0.175213675213675,0.00467289719626168
15,130,open,1.1121942,waveOut,open,waveOut,open,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.521525215252153
17,90,fist,1.0687502,waveOut,fist,waveOut,fist,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.416666666666667
59,22,noGesture,1.0600067,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
25,31,fist,1.0554214,open,fist,open,noGesture,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN
20,29,waveOut,1.1066787,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,0,0.278260869565217,NaN,0.278260869565217,NaN
52,138,open,1.1650715,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.548764629388817,0.520987654320988
70,112,waveIn,1.1169734,pinch,waveIn,waveOut,waveIn,0,1,0,1,0,0,0,0,NaN,NaN,NaN,NaN
61,16,noGesture,1.277587,noGesture,fist,noGesture,fist,1,0,1,0,1,0,1,0,NaN,NaN,NaN,NaN
65,7,noGesture,1.0759761,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
67,58,pinch,0.9879164,pinch,fist,waveOut,fist,1,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
11,82,pinch,1.0914074,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,0,NaN,NaN,0.481203007518797,NaN
20,94,fist,1.0741115,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.387617765814266,0.387617765814266
53,63,pinch,1.0452531,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
59,116,waveIn,1.0265985,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.40885860306644,0.40885860306644
47,141,open,1.0297089,open,open,open,open,1,1,1,1,0,0,1,0,NaN,NaN,0.42152466367713,0.207130730050934
38,139,waveIn,1.036053,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,NaN,0.446511627906977,NaN
68,35,waveOut,1.0556124,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.373831775700935,NaN
31,120,waveOut,1.0274337,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,0,0.152046783625731,0.152046783625731,0.152046783625731,0.152046783625731
63,48,waveOut,1.0250023,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.391167192429022,NaN
36,149,fist,1.0550427,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
11,39,fist,1.0457977,open,fist,open,fist,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.603491271820449
29,118,waveIn,1.0814854,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.524725274725275,0.524725274725275
4,48,waveOut,1.035337,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,1,0.619411123227917,NaN,0.619411123227917,0.465968586387435
21,70,pinch,1.0931988,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.684045881126173,0.684045881126173
66,118,waveIn,1.1601162,waveOut,waveIn,waveOut,waveIn,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.355555555555556
71,48,fist,1.180043,open,fist,open,fist,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.636636636636637
62,70,pinch,1.3912434,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.581560283687943,0.365325077399381
75,60,pinch,1.4104939,waveOut,pinch,waveOut,pinch,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.560726447219069
29,55,waveOut,1.3774515,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.47926267281106,0.379705400981997
31,97,pinch,1.4260324,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
66,89,fist,1.3415942,fist,fist,fist,fist,1,1,1,1,0,0,1,0,NaN,NaN,0.291325695581015,NaN
58,106,waveIn,1.4124511,waveIn,fist,waveIn,waveIn,1,0,1,1,0,0,1,0,NaN,NaN,0.35,0.127777777777778
62,111,waveIn,1.3378825,waveIn,pinch,waveIn,pinch,1,0,1,0,0,0,1,0,NaN,NaN,0.610421836228288,NaN
18,86,waveIn,1.1372941,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.344582593250444,0.301242236024845
70,42,fist,1.0435712,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
51,40,waveOut,1.065641,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,0,0.58492975734355,NaN,0.676339285714286,NaN
3,10,noGesture,1.0193922,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
46,25,noGesture,1.0709131,noGesture,fist,noGesture,fist,1,0,1,0,1,0,1,0,NaN,NaN,NaN,NaN
40,42,waveIn,1.0524241,open,waveIn,waveIn,waveIn,0,1,1,1,0,0,1,1,NaN,NaN,0.685779816513762,0.680232558139535
31,61,fist,1.0293042,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
66,76,fist,1.039598,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.396491228070175,0.275471698113208
6,101,waveIn,1.0427416,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.50384024577573,0.380952380952381
