user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
1,115,waveIn,1.145492,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,1,1,1,NaN,0.263450834879406,0.383419689119171,0.263450834879406
1,92,pinch,0.8157473,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.433179723502304,NaN,0.433179723502304,0.433179723502304
1,136,waveOut,0.7836147,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.357541899441341,0.332755632582322
1,101,waveIn,0.7281477,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,NaN,0.383354350567465,NaN
1,150,waveOut,0.7711189,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,1,0.60093896713615,NaN,0.60093896713615,0.532019704433498
1,61,open,0.8765692,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.562758620689655,0.384496124031008
1,18,noGesture,0.8213584,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,134,waveOut,0.7405599,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.660357518401682,NaN
1,24,noGesture,0.7128234,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,16,noGesture,0.7259859,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,106,waveIn,0.7056132,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.428571428571429,0.428571428571429
1,48,fist,0.698883,fist,fist,fist,fist,1,1,1,1,0,0,0,0,NaN,0.186978297161937,0.186978297161937,0.186978297161937
1,142,waveOut,0.708653,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,1,1,NaN,0.6272,0.525700934579439,0.6272
1,10,noGesture,0.7374578,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,60,open,0.7116794,open,open,open,open,1,1,1,1,1,0,1,1,0.369602763385147,NaN,0.369602763385147,0.369602763385147
1,84,pinch,0.7277352,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.492220650636492,0.492220650636492
1,25,noGesture,0.745078,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,1,noGesture,0.7368974,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,107,waveIn,0.7456373,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,1,1,1,NaN,0.343807763401109,0.457831325301205,0.343807763401109
1,38,fist,0.7540762,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.486068111455108,0.27208480565371,0.486068111455108,0.27208480565371
1,127,waveOut,0.783499,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.564516129032258
1,30,fist,0.8138896,fist,fist,fist,fist,1,1,1,1,0,1,1,1,NaN,0.317241379310345,0.317241379310345,0.317241379310345
1,42,fist,0.7261004,fist,fist,fist,fist,1,1,1,1,0,1,1,1,NaN,0.593301435406699,0.557721139430285,0.593301435406699
1,120,waveIn,0.7355899,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,0.247464503042596,0.464223385689354,0.247464503042596
1,76,pinch,0.7395004,pinch,pinch,pinch,pinch,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.564102564102564
1,15,noGesture,0.7267297,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,78,pinch,0.7579442,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.51123595505618,0.51123595505618
1,26,fist,0.7255828,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.45958795562599,0.45958795562599,0.45958795562599,0.45958795562599
1,27,fist,0.7218565,fist,fist,fist,fist,1,1,1,1,0,1,1,1,NaN,0.401976935749588,0.355167394468704,0.401976935749588
1,50,fist,0.7565286,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.293577981651376,0.293577981651376,0.293577981651376,0.293577981651376
1,117,waveIn,0.7109447,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,0.231046931407942,0.543417366946779,0.231046931407942
1,80,pinch,0.7145387,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.549222797927461,0.411042944785276
1,6,noGesture,0.6832964,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,65,open,0.7203322,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.418670438472419,0.32383808095952
1,97,pinch,0.7319251,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.408817635270541,NaN,0.408817635270541,0.526901669758813
1,2,noGesture,0.7528902,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
