EpisodeIndex,DQNEpisodeReward,DQNAverageReward,DQNEpisodeQ0,DDQNEpisodeReward,DDQNAverageReward,DDQNEpisodeQ0
1,-14.1822231100722,-14.1822233200073,0.14499394595623,-4.96078122824539,-4.96078109741211,0.408898383378983
2,-21.4992867725442,-17.8407554626465,0.0436379872262478,-18.1779072202969,-11.5693445205688,0.0585763826966286
3,-20.9995571944837,-18.8936901092529,0.0388011522591114,-17.9985735450884,-13.712420463562,0.03297995403409
4,-11.85564369294,-17.1341781616211,0.031223913654685,-15.5027789965719,-14.1600093841553,0.0398182421922684
5,-18.7505776026469,-17.4574565887451,0.0170217249542475,-13.714949094882,-14.0709972381592,0.0216961372643709
6,-10.7091978992405,-16.3327465057373,1.67913246154785,-19.6571815093863,-15.002028465271,1.62635147571564
7,-24,-17.4280681610107,0.0131933065131307,-8.25872127631664,-14.0386981964111,0.0256007760763168
8,-13.4979093368139,-16.9367980957031,0.0202680826187134,-20.9995571944837,-14.908805847168,0.0331945270299911
9,-17.5652849302415,-17.0066318511963,0.0248910952359438,-17.472838095873,-15.1936988830566,0.0206050220876932
10,-16.4988929862092,-16.9558563232422,0.0506984107196331,-14.998671583451,-15.1741962432861,0.0253344848752022
11,-16.4986225642697,-16.9142894744873,0.0485184602439404,-16.4986225642697,-15.2945985794067,0.0587500743567944
12,-20.2493357917255,-17.192211151123,0.0127421412616968,-22.7497785972418,-15.9158630371094,0.010917404666543
13,-13.0395806743601,-16.8727779388428,0.0283977873623371,-16.9536598435128,-15.9956951141357,0.0304026417434216
14,-13.9728117641939,-16.6656379699707,0.0427045971155167,-19.2598399934062,-16.2288475036621,0.050947543233633
15,-10.7318755950575,-16.2700538635254,0.0121376812458038,-12.593926431673,-15.9865198135376,0.0152538185939193
16,-14.4933672625306,-16.1590099334717,0.196429282426834,-17.1171518836795,-16.0571823120117,0.0981036648154259
17,-16.8992070128455,-16.2025527954102,0.0127919325605035,-13.6343294794407,-15.914662361145,0.0197204370051622
18,-13.5713791472154,-16.05637550354,0.0278414115309715,-8.74318128593154,-15.51624584198,0.0312433801591396
19,-20.6495571944837,-16.2981204986572,0.705766201019287,-16.2263871162401,-15.5536222457886,0.420441716909409
20,-17.6356994280892,-16.3650016784668,0.276047885417938,-22.7497785972418,-15.9134311676025,0.280673414468765
21,-19.4993357917255,-16.5142555236816,0.0236939527094364,-17.9988439670279,-16.0127353668213,0.0119706308469176
22,-20.7495571944837,-16.7067699432373,0.0223932769149542,-18.2027913354489,-16.112283706665,0.0255385544151068
23,-13.0984011615116,-16.5498847961426,0.0162648968398571,-15.5488929862092,-16.0877876281738,0.0156274139881134
24,-17.9991143889674,-16.6102695465088,0.0339199677109718,-16.4983521423302,-16.1048946380615,0.0369894243776798
25,-20.9995571944837,-16.7858390808105,0.0905542820692062,-17.9988439670279,-16.1806526184082,0.0592422969639301
26,-17.9963946152549,-16.8323993682861,0.014993192628026,-16.2520555654379,-16.1833992004395,0.0158449560403824
27,-20.0049047880666,-16.9498996734619,0.0379944145679474,-16.7504512873631,-16.2044010162354,0.0308152604848146
28,-13.9064762445561,-16.8412055969238,0.00962635409086943,-20.7495571944837,-16.3667278289795,0.0153705412521958
29,-13.7812312599219,-16.735689163208,0.00244775577448308,-13.368187781661,-16.2633304595947,0.010555999353528
30,-16.6134001032531,-16.7316131591797,0.0337006635963917,-20.1895571944837,-16.3942050933838,0.0401194989681244
31,-11.0577597108788,-16.5485858917236,0.0488101094961166,-13.2919104425683,-16.2941303253174,0.0786919668316841
32,-20.1911156360421,-16.6624145507812,0.0305087938904762,-11.378320310563,-16.140510559082,0.0169156268239021
33,-12.8655563956374,-16.5473594665527,0.018787020817399,-18.2488439670279,-16.2044010162354,0.0167535413056612
34,-24,-16.7665557861328,0.012280872091651,-13.6471353387267,-16.129186630249,0.0194702930748463
35,-19.4993357917255,-16.844633102417,0.0435953363776207,-16.4988929862092,-16.1397495269775,0.0584387518465519
36,-20.9995571944837,-16.9600467681885,0.0492318756878376,-14.9984011615116,-16.1080455780029,0.0521576888859272
37,-19.1545571944837,-17.0193576812744,0.0254222583025694,-21.5547785972418,-16.2552547454834,0.0456796176731586
38,-20.3584680855728,-17.1072311401367,0.0301123075187206,-12.9878994553703,-16.1692714691162,0.0293523967266083
39,-17.6517748161158,-17.1211948394775,0.0233528111129999,-13.1612150796157,-16.0921421051025,0.0458210594952106
40,-12.8007191393295,-17.0131816864014,0.00981249567121267,-10.9416378764874,-15.96337890625,0.0461620837450027
41,-12.9333590056267,-16.9136734008789,0.00608788384124637,-15.5636647201546,-15.9536294937134,0.012573660351336
42,-22.7497785972418,-17.0526275634766,0.00818993244320154,-9.80278663963306,-15.8071813583374,0.0192278772592545
43,-18.6251914959122,-17.0892009735107,0.0125395702198148,-14.4358299231461,-15.7752895355225,0.0103360284119844
44,-19.2493357917255,-17.1382942199707,0.0255353581160307,-12.9302193433297,-15.7106294631958,0.0225665960460901
45,-14.178671583451,-17.0725231170654,0.00919950380921364,-16.6524477223007,-15.7315578460693,0.0130041800439358
46,-15.0824477223007,-17.0292625427246,0.0304970405995846,-18.5740252795901,-15.7933511734009,0.0689682513475418
47,-17.4991143889674,-17.0392589569092,0.0213480070233345,-19.768425119012,-15.8779268264771,0.119264416396618
48,-8.0364299770046,-16.8516998291016,0.0305307023227215,-18.5826691250588,-15.9342756271362,0.136908635497093
49,-17.3378131579807,-16.8616199493408,0.0123419221490622,-17.2727769404077,-15.9615917205811,0.0153849059715867
50,-13.7372611743547,-16.7991333007812,0.0345524474978447,-20.0234702379619,-16.0428295135498,0.0372535362839699
51,-20.2473926923192,-16.8667449951172,0.0060085617005825,-17.2414896122103,-16.066333770752,0.0137148275971413
52,-13.5078458132163,-16.802152633667,0.0151943415403366,-16.1665654860152,-16.0682601928711,0.0244366731494665
