user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
1,102,waveIn,1.1849377,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.311336717428088,0.446700507614213
1,11,noGesture,0.8118929,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,143,waveOut,0.7668115,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.391544117647059,NaN
1,28,fist,0.7530725,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.526315789473684,0.456666666666667
1,64,open,0.8126558,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.459807073954984,0.353951890034364
1,23,noGesture,0.9007399,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,5,noGesture,0.8025595,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,118,waveIn,0.7639994,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,1,1,1,0.446017699115044,0.446017699115044,0.446017699115044,0.446017699115044
1,100,pinch,0.713587,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.348387096774194,0.448484848484848
1,67,open,0.6857177,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.332179930795848,0.332179930795848
1,65,open,0.7560079,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.50334672021419,0.50334672021419
1,19,noGesture,0.6014566,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,76,pinch,0.6312917,pinch,pinch,pinch,pinch,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.390322580645161
1,114,waveIn,0.625981,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,1,1,1,NaN,0.384905660377359,0.465573770491803,0.384905660377359
1,14,noGesture,0.6037707,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,47,fist,0.6595184,fist,fist,fist,fist,1,1,1,1,1,0,1,1,0.47870778267254,NaN,0.47870778267254,0.508580343213729
1,106,waveIn,0.7207669,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.279166666666667,0.279166666666667
1,86,pinch,0.6991148,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.496263079222721,NaN,0.496263079222721,0.496263079222721
1,146,waveOut,0.7368407,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,0,1,NaN,0.711825487944891,NaN,0.711825487944891
1,120,waveIn,0.7526781,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.378986866791745,0.378986866791745
1,119,waveIn,0.7646393,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN
1,104,waveIn,0.8367853,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.41726618705036,0.41726618705036
1,108,waveIn,0.7307787,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.522727272727273
1,71,open,0.7501417,pinch,open,pinch,open,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.379928315412186
1,31,fist,0.7674623,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.46422893481717,0.495755517826825
1,109,waveIn,0.7399073,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.538205980066445,0.538205980066445
1,50,fist,0.7390889,fist,fist,fist,fist,1,1,1,1,0,1,1,1,NaN,0.293577981651376,0.293577981651376,0.293577981651376
1,134,waveOut,0.735551,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,1,0.489208633093525,NaN,0.660357518401682,0.660357518401682
1,51,open,0.7268225,open,open,open,open,1,1,1,1,1,0,1,1,0.330909090909091,NaN,0.330909090909091,0.330909090909091
1,20,noGesture,0.709994,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,61,open,0.7242193,open,open,open,open,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.409917355371901
1,137,waveOut,0.7415851,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,0,1,NaN,0.661572052401747,NaN,0.660850599781898
1,149,waveOut,0.7017106,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.42369020501139,NaN
1,122,waveIn,0.7299974,waveOut,waveIn,waveOut,waveIn,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.335154826958106
1,9,noGesture,0.6911581,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,2,noGesture,0.706496,waveOut,noGesture,noGesture,noGesture,0,1,1,1,0,1,1,1,NaN,NaN,NaN,NaN
1,141,waveOut,0.7147172,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.534031413612565,NaN
1,126,waveOut,0.7190589,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.522255192878338,0.581140350877193
1,78,pinch,0.782401,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.51123595505618,0.51123595505618
1,92,pinch,0.7393849,pinch,pinch,pinch,pinch,1,1,1,1,1,1,1,1,0.433179723502304,0.433179723502304,0.433179723502304,0.433179723502304
1,87,pinch,0.7938877,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.484276729559748,NaN,0.484276729559748,0.484276729559748
1,133,waveOut,0.8086847,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.661733615221987,0.602649006622517
1,68,open,0.8249455,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.591054313099042,0.482213438735178
1,128,waveOut,0.8275141,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,0,0.446991404011461,NaN,0.446991404011461,NaN
1,10,noGesture,0.802839,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,4,noGesture,0.7303103,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,125,waveIn,0.7245162,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.460905349794239,0.395759717314488
1,91,pinch,0.7001174,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.54251012145749,0.573466476462197
1,32,fist,0.7279633,fist,fist,fist,fist,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.403448275862069
1,37,fist,0.7173059,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.502546689303905,0.470588235294118
1,150,waveOut,0.7229645,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,0,1,1,0.486692015209125,NaN,0.486692015209125,0.526748971193416
1,83,pinch,0.6850742,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.469860896445131,NaN,0.469135802469136,0.469135802469136
1,52,open,0.7236179,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.415357766143106,0.296435272045028
1,43,fist,0.6832954,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.367816091954023,0.299065420560748
1,99,pinch,0.7171733,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.43010752688172,0.492476060191518,0.43010752688172
1,24,noGesture,0.6974973,waveOut,noGesture,noGesture,noGesture,0,1,1,1,0,1,1,1,NaN,NaN,NaN,NaN
1,29,fist,0.7054078,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.3968,0.3968
1,18,noGesture,0.722353,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,55,open,0.7264214,open,open,open,fist,1,1,1,0,0,0,1,0,NaN,NaN,0.516405135520685,NaN
1,3,noGesture,0.6817331,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,116,waveIn,0.7108646,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.4224,0.396992481203008
1,112,waveIn,0.6825633,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,1,1,1,NaN,0.461538461538462,0.526315789473684,0.461538461538462
1,46,fist,0.7124322,fist,fist,fist,fist,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.513981358189081
1,56,open,0.6887374,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.389655172413793,0.389655172413793
1,124,waveIn,0.7320072,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.453507340946166,0.345549738219895
1,148,waveOut,0.678807,waveOut,pinch,waveOut,pinch,1,0,1,0,0,0,1,0,NaN,NaN,0.478114478114478,NaN
1,35,fist,0.7011588,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.451282051282051,0.451282051282051,0.451282051282051,0.451282051282051
1,132,waveOut,0.7183692,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,1,NaN,NaN,NaN,0.582056892778993
1,89,pinch,0.6864287,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.505327245053272,0.505327245053272
1,107,waveIn,0.6625409,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.457831325301205,0.343807763401109
1,96,pinch,0.7344457,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.521031207598372,0.521031207598372,0.521031207598372
1,81,pinch,0.7598871,pinch,pinch,pinch,pinch,1,1,1,1,1,1,1,1,0.573228346456693,0.572327044025157,0.572327044025157,0.572327044025157
1,69,open,0.7450578,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.357262103505843,0.460093896713615
1,93,pinch,0.6430587,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.50297619047619,NaN,0.50297619047619,0.50297619047619
1,121,waveIn,0.6532758,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,NaN,0.367567567567568,NaN
1,94,pinch,0.704558,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.492979719188768,0.492979719188768
1,7,noGesture,0.6992261,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,101,waveIn,0.6867564,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,0,0,NaN,NaN,NaN,NaN
1,77,pinch,0.7331358,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.655677655677656,0.655677655677656
1,30,fist,0.6983231,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.317241379310345,0.317241379310345
1,111,waveIn,0.6910967,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.436641221374046,0.436641221374046
1,53,open,0.7413122,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.429840142095915,0.506998444790047
1,88,pinch,0.6742559,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.523676880222841,0.523676880222841
1,105,waveIn,0.6894992,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.394029850746269,0.419047619047619
1,59,open,0.6982983,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.468013468013468,0.501805054151625
1,135,waveOut,0.7105339,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,0,NaN,NaN,0.485228290062668,NaN
1,97,pinch,0.6537738,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.408817635270541,0.526901669758813,0.408817635270541
1,139,waveOut,0.6805697,open,waveOut,waveOut,waveOut,0,1,1,1,0,0,1,1,NaN,NaN,0.510822510822511,0.502358490566038
1,138,waveOut,0.8844212,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.398713826366559,0.398713826366559
