user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
1,12,noGesture,1.1082946,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,39,fist,0.7981994,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,63,open,0.6658367,waveIn,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,22,noGesture,0.6370114,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,45,fist,0.6860155,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,59,open,0.9023887,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,76,pinch,0.8431854,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,55,open,0.6666622,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,105,waveIn,0.73033,waveIn,noGesture,waveIn,noGesture,1,0,1,0,0,0,1,0,NaN,NaN,0.484507042253521,NaN
1,112,waveIn,0.6960953,waveIn,noGesture,waveIn,noGesture,1,0,1,0,0,0,1,0,NaN,NaN,0.524822695035461,NaN
1,2,noGesture,0.7323378,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,73,open,0.8291361,waveIn,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1,58,open,0.6932892,waveOut,noGesture,waveOut,noGesture,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
