user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
1,43,fist,1.1021075,fist,fist,fist,fist,1,1,1,1,1,0,1,1,0.367816091954023,NaN,0.367816091954023,0.299065420560748
1,101,waveIn,0.8505808,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,1,1,1,0.338983050847458,0.338266384778013,0.338266384778013,0.338266384778013
1,56,open,0.8034783,open,open,open,open,1,1,1,1,1,0,1,1,0.389655172413793,NaN,0.389655172413793,0.389655172413793
1,58,open,0.7124218,open,open,open,open,1,1,1,1,1,0,1,1,0.294478527607362,NaN,0.294478527607362,0.4234404536862
1,20,noGesture,0.8418244,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,96,pinch,0.8670853,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.550932568149211,0.521031207598372
1,42,fist,0.8499017,fist,fist,fist,fist,1,1,1,1,1,0,1,1,0.394881170018282,NaN,0.394881170018282,0.504258943781942
1,113,waveIn,0.7780906,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.443828016643551,0.443828016643551
1,19,noGesture,0.7560418,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,73,open,0.7669118,open,open,open,open,1,1,1,1,0,0,0,1,0.235772357723577,NaN,0.235772357723577,0.342657342657343
1,47,fist,0.739675,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.295900178253119,0.409317803660566
1,110,waveIn,0.6832335,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.286701208981002,0.286701208981002
1,90,pinch,0.7006124,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.473444613050076,0.473444613050076
1,13,noGesture,0.7409646,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,106,waveIn,0.6950752,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,0,1,1,0.304545454545455,NaN,0.304545454545455,0.279166666666667
1,32,fist,0.755797,fist,fist,fist,fist,1,1,1,1,1,0,1,1,0.285185185185185,NaN,0.285185185185185,0.26551724137931
1,81,pinch,0.7381075,open,pinch,open,pinch,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.572327044025157
1,103,waveIn,0.6976219,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,0,1,1,0.411873840445269,NaN,0.411111111111111,0.284
1,145,waveOut,0.7841895,pinch,waveOut,pinch,waveOut,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.608108108108108
1,7,noGesture,0.8489525,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,59,open,0.7436441,open,open,open,open,1,1,1,1,1,1,1,1,0.357400722021661,0.385214007782101,0.357400722021661,0.385214007782101
1,112,waveIn,0.854041,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.348623853211009,0.324786324786325
1,69,open,0.7546701,open,open,open,open,1,1,1,1,1,0,1,1,0.357262103505843,NaN,0.357262103505843,0.357262103505843
1,14,noGesture,0.7326576,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,88,pinch,0.6720189,open,pinch,open,pinch,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.436578171091445
1,82,pinch,0.6510467,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.487062404870624,0.487062404870624
1,23,noGesture,0.7139193,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,142,waveOut,0.7101048,pinch,waveOut,pinch,waveOut,0,1,0,1,0,1,0,1,NaN,0.469172932330827,NaN,0.469172932330827
1,111,waveIn,0.7076057,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.358260869565217,0.334959349593496
1,125,waveIn,0.759304,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.378787878787879,0.459770114942529
1,126,waveOut,0.7102983,pinch,waveOut,pinch,waveOut,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.581140350877193
1,129,waveOut,0.6938777,pinch,waveOut,waveOut,waveOut,0,1,1,1,0,0,1,1,NaN,NaN,0.602609727164887,0.527518172377985
1,114,waveIn,0.7646582,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,0,NaN,NaN,0.384905660377359,0.233962264150943
1,11,noGesture,0.7734725,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,70,open,0.6724384,open,open,open,open,1,1,1,1,1,0,1,1,0.373795761078998,NaN,0.373795761078998,0.347048300536673
1,39,fist,0.6712411,fist,fist,fist,fist,1,1,1,1,0,0,0,1,0.202127659574468,NaN,0.202127659574468,0.301242236024845
1,77,pinch,0.7769972,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.655677655677656,0.549407114624506,0.655677655677656
1,78,pinch,0.825164,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.422619047619048,0.51123595505618
1,9,noGesture,0.7065375,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,35,fist,0.688619,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.451282051282051,0.451282051282051,0.451282051282051,0.451282051282051
1,31,fist,0.8742907,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.38615664845173,0.359932088285229,0.38615664845173,0.359932088285229
1,17,noGesture,0.8737238,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
1,105,waveIn,0.8776061,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.311864406779661,0.292063492063492
1,52,open,0.8254716,open,open,open,open,1,1,1,1,1,0,1,1,0.296435272045028,NaN,0.296435272045028,0.415357766143106
1,133,waveOut,0.826632,pinch,waveOut,pinch,waveOut,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.53810623556582
1,108,waveIn,0.6324227,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.382352941176471,0.356164383561644
1,89,pinch,0.6602033,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.408427876823339,0.383561643835616
1,127,waveOut,0.7565753,pinch,waveOut,pinch,waveOut,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.687772925764192
1,38,fist,0.706831,fist,fist,fist,fist,1,1,1,1,1,1,1,1,0.29277566539924,0.27208480565371,0.29277566539924,0.27208480565371
