user,sample,actual_class,elapsed_time,dqn_predicted_class,ddqn_predicted_class,post_dqn_predicted_class,post_ddqn_predicted_class,dqn_classification,ddqn_classification,post_dqn_classification,post_ddqn_classification,dqn_recognition,ddqn_recognition,post_dqn_recognition,post_ddqn_recognition,dqn_overlapping_factor,ddqn_overlapping_factor,post_dqn_overlapping_factor,post_ddqn_overlapping_factor
58,113,waveIn,1.2305989,pinch,pinch,pinch,pinch,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
34,35,waveOut,0.817296,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.447368421052632,0.469849246231156
55,5,noGesture,0.7902007,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
38,141,waveIn,0.7872039,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.472602739726027,0.442307692307692
20,135,open,0.7718544,pinch,pinch,pinch,pinch,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
51,147,open,0.8587693,waveOut,open,waveOut,open,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.497395833333333
12,146,fist,0.8433503,fist,fist,fist,fist,1,1,1,1,1,0,1,1,0.439775910364146,NaN,0.659446450060168,0.659446450060168
22,15,noGesture,0.7787676,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
54,141,open,0.7171271,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.40418118466899,0.40418118466899
50,44,waveOut,0.7431675,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.414012738853503,0.414012738853503
26,135,open,0.7780068,open,open,open,open,1,1,1,1,1,1,1,1,0.386252045826514,0.386252045826514,0.386252045826514,0.386252045826514
38,89,pinch,0.7623913,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.386694386694387,0.510556621880998
69,127,fist,0.7518152,fist,waveIn,fist,waveIn,1,0,1,0,0,0,1,0,NaN,NaN,0.457326892109501,NaN
11,99,pinch,0.7466782,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.481132075471698,NaN,0.481132075471698,0.481132075471698
18,84,waveIn,0.7734445,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.368509212730318,0.368509212730318
18,148,waveOut,0.7621409,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,1,1,NaN,0.373109243697479,0.475590551181102,0.373109243697479
61,81,pinch,0.8074812,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.54320987654321,0.54320987654321,0.54320987654321
4,33,waveOut,0.7411473,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,1,1,1,0.598407281001138,0.598407281001138,0.598407281001138,0.598407281001138
46,4,noGesture,0.7166943,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
23,124,waveIn,0.7182783,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.479411764705882,0.479411764705882
9,67,open,0.7552796,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.398876404494382,0.398876404494382
2,60,pinch,0.8513967,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.641379310344828,0.641379310344828
3,126,open,0.7760457,open,open,open,open,1,1,1,1,0,1,1,1,NaN,0.501510574018127,0.501510574018127,0.501510574018127
42,122,waveOut,0.7485702,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,1,1,NaN,0.749445676274945,0.717622080679405,0.749445676274945
46,33,waveIn,0.7138437,pinch,waveIn,pinch,waveIn,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.799059929494712
27,137,open,0.7834873,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.48721399730821,0.564495530012771
73,65,waveOut,0.7872012,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,0,0,0.205128205128205,0.205128205128205,0.205128205128205,0.205128205128205
75,149,open,0.7456225,fist,open,fist,open,0,1,0,1,0,0,0,1,NaN,NaN,NaN,0.555701179554391
31,50,waveIn,0.720389,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.536856745479833,0.568483063328424
26,74,pinch,0.7195743,pinch,pinch,pinch,pinch,1,1,1,1,1,1,1,1,0.45724907063197,0.45724907063197,0.45724907063197,0.45724907063197
68,84,fist,0.7518573,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.420338983050847,0.520634920634921
34,110,waveIn,0.7695573,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.419405320813772,0.512518409425626
9,101,waveOut,0.7526353,open,open,open,open,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
34,81,fist,0.7224961,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.571428571428571,0.571428571428571
6,150,open,0.7533508,open,open,open,open,1,1,1,1,0,0,1,1,NaN,NaN,0.567760342368046,0.596491228070175
50,100,fist,0.7027442,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.312605042016807,0.312605042016807
63,117,waveIn,0.7233063,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.48,0.48
51,36,waveOut,0.7503847,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,1,1,1,0.531609195402299,0.531609195402299,0.632880098887515,0.632880098887515
23,94,open,0.7726941,open,open,open,open,1,1,1,1,1,0,1,1,0.377495462794918,NaN,0.377495462794918,0.250489236790607
52,23,noGesture,0.767551,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
66,30,waveOut,0.7803629,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,1,1,1,0.504435994930291,0.504435994930291,0.504435994930291,0.504435994930291
42,94,pinch,0.8405429,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.586666666666667,0.586666666666667
63,106,waveIn,0.8319971,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.352530541012216,0.352530541012216
18,121,pinch,0.8321239,pinch,waveOut,pinch,waveOut,1,0,1,0,0,0,1,0,NaN,NaN,0.450363196125908,NaN
34,17,noGesture,0.8945003,noGesture,noGesture,noGesture,noGesture,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN
39,46,waveOut,0.8344469,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,1,1,1,NaN,0.55050505050505,0.55050505050505,0.55050505050505
37,131,waveIn,0.8513125,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.411428571428571,0.411428571428571
35,127,open,0.7589877,open,open,open,open,1,1,1,1,1,0,1,1,0.417618270799347,NaN,0.417618270799347,0.514548238897397
62,113,waveIn,0.7275933,waveIn,waveIn,waveIn,waveIn,1,1,1,1,1,1,1,1,0.689230769230769,0.433823529411765,0.689230769230769,0.433823529411765
53,108,waveIn,0.7448969,waveIn,waveIn,waveIn,waveIn,1,1,1,1,0,0,1,1,NaN,NaN,0.542465753424658,0.617283950617284
25,42,fist,0.7262891,fist,fist,fist,fist,1,1,1,1,0,0,1,1,NaN,NaN,0.476340694006309,0.448071216617211
32,121,waveOut,0.7469313,waveOut,waveOut,waveOut,waveOut,1,1,1,1,1,1,1,1,0.475218658892128,0.559228650137741,0.475218658892128,0.559228650137741
64,28,waveOut,0.7285335,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.72382851445663,0.753894080996885
75,65,pinch,0.7305347,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.494086727989487,0.570749108204518
17,124,pinch,0.75569,pinch,pinch,pinch,pinch,1,1,1,1,1,0,1,1,0.571428571428571,NaN,0.599557522123894,0.599557522123894
61,54,waveIn,0.805574,waveIn,pinch,waveIn,pinch,1,0,1,0,0,0,1,0,NaN,NaN,0.680769230769231,NaN
36,29,pinch,0.7399779,pinch,pinch,pinch,pinch,1,1,1,1,0,0,1,1,NaN,NaN,0.583006535947712,0.583006535947712
47,31,waveOut,0.8498097,waveOut,waveOut,waveOut,waveOut,1,1,1,1,0,0,1,1,NaN,NaN,0.539923954372624,0.539923954372624
73,29,pinch,0.8302298,pinch,pinch,pinch,pinch,1,1,1,1,0,1,1,1,NaN,0.391608391608392,0.366013071895425,0.391608391608392
